epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,245.516,1.08853,0.87231,1.25182,0.9819,0.87211,0.91616,0.68489,0.95448,0.79178,1.2438,0.00208,0.00208,0.00208
82,248.713,1.04977,0.84548,1.24178,0.98717,0.91244,0.94799,0.71339,0.96696,0.6906,1.24746,0.001981,0.001981,0.001981
83,251.323,1.09591,0.92116,1.26189,0.98474,0.91184,0.95379,0.72004,0.95234,0.67654,1.25047,0.001882,0.001882,0.001882
84,254.008,1.0904,0.87766,1.25761,0.9884,0.91029,0.9466,0.72083,0.98301,0.73388,1.26539,0.001783,0.001783,0.001783
85,256.916,1.02831,0.82984,1.22685,0.99321,0.90921,0.94644,0.71426,1.00614,0.76926,1.26692,0.001684,0.001684,0.001684
86,261.461,1.04301,0.87401,1.24454,0.93488,0.94449,0.94964,0.71622,0.97949,0.73412,1.23885,0.001585,0.001585,0.001585
87,264.136,1.12659,0.90539,1.29883,0.9859,0.875,0.94622,0.70862,0.9969,0.7265,1.25098,0.001486,0.001486,0.001486
88,266.743,1.07859,0.83067,1.26316,0.98621,0.875,0.94035,0.70533,0.9789,0.68376,1.23395,0.001387,0.001387,0.001387
89,269.365,1.06813,0.86631,1.23586,0.98862,0.875,0.9381,0.70438,1.00201,0.68639,1.24247,0.001288,0.001288,0.001288
90,272.657,1.00527,0.80713,1.21857,0.99168,0.875,0.93844,0.68008,1.07449,0.72843,1.28256,0.001189,0.001189,0.001189
91,277.531,0.93256,0.76031,1.2073,0.99153,0.87079,0.94066,0.69471,1.04507,0.73155,1.25989,0.00109,0.00109,0.00109
92,280.143,0.92301,0.68304,1.1834,0.98857,0.875,0.94363,0.71231,0.99397,0.73375,1.22812,0.000991,0.000991,0.000991
93,282.707,0.88943,0.67479,1.16538,0.98586,0.875,0.93846,0.70986,0.97423,0.73925,1.22682,0.000892,0.000892,0.000892
94,286.08,0.90264,0.67207,1.16357,0.97943,0.91667,0.93511,0.70637,0.97058,0.71772,1.23698,0.000793,0.000793,0.000793
